ID,PRODUCT_ID,PIXEL_X,PIXEL_Y,LATITUDE,LONGITUDE,SURFACE_ID,CLOUD_CHARACTERISTICS_ID,CLOUD_TYPE_ID,CLOUD HEIGHT_ID,SHADOW_ID,AEROSOL TYPE_ID,GLINT_ID,WATER BODY CHARACTERISTICS_ID,ICE TYPE_ID,OVERSATURATION_ID,SURFACE_TYPE_ID,CLIMATE_ZONE_ID,SEASON_ID,DAY_TIME_ID,SHALLOWNESS_ID
5472574,5472572,8113,4879,-19.43185997,-68.22731018,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472575,5472572,8693,4333,-19.38227844,-68.1723175,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472576,5472572,8997,3485,-19.3055172,-68.14376831,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472577,5472572,9360,2757,-19.2395668,-68.10957336,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472578,5472572,8148,2454,-19.21271133,-68.22501373,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472579,5472572,7585,2532,-19.21997833,-68.27854156,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472580,5472572,8858,6230,-19.55362511,-68.15571594,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472581,5472572,9230,5451,-19.48306465,-68.12064362,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472582,5472572,9992,5225,-19.46227455,-68.04815674,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472583,5472572,10425,4134,-19.36347198,-68.00750732,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472584,5472572,10737,5277,-19.46658707,-67.97715759,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472585,5472572,9525,5840,-19.51807594,-68.09233856,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472586,5472572,9490,6334,-19.56273079,-68.09542084,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472587,5472572,10018,5693,-19.50455093,-68.04543304,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472588,5472572,10668,5719,-19.50656319,-67.98348236,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472589,5472572,9386,4264,-19.37573242,-68.10636139,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472590,5472572,8780,3909,-19.34392738,-68.16423035,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472591,5472572,9014,2628,-19.2280674,-68.14255524,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472592,5472572,9940,2169,-19.18615723,-68.05470276,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472593,5472572,9940,2757,-19.23929024,-68.05439758,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472594,5472572,9975,3442,-19.30117035,-68.05071259,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472595,5472572,8252,4091,-19.36059761,-68.2144165,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472596,5472572,7931,2835,-19.24722672,-68.24549866,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472597,5472572,9343,3260,-19.28502846,-68.11094666,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472598,5472572,8165,4524,-19.3997612,-68.22251129,27,6,1,1,1,1,1,1,1,1,6,4,1,0,1
5472599,5472572,8356,3338,-19.29250908,-68.20484161,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472600,5472572,8529,2749,-19.23921204,-68.18863678,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472601,5472572,8590,2290,-19.19770813,-68.18304443,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472602,5472572,8607,2039,-19.17501831,-68.18153381,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472603,5472572,9048,5052,-19.44709206,-68.13816833,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472604,5472572,9438,4654,-19.4109478,-68.10121918,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472605,5472572,9906,4342,-19.38253021,-68.05680847,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472606,5472572,10070,4022,-19.35353279,-68.04136658,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472607,5472572,10304,3875,-19.34013176,-68.01916504,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472608,5472572,10408,5286,-19.46757507,-68.00849152,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472609,5472572,10451,4818,-19.42526436,-68.00465393,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472610,5472572,10720,4489,-19.39539528,-67.97921753,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472611,5472572,7810,4671,-19.41318512,-68.25626373,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472612,5472572,7291,2420,-19.20996475,-68.30654907,27,5,1,1,1,1,1,1,1,1,6,4,1,0,1
5472613,5472572,8442,5840,-19.51856422,-68.19554901,27,4,1,1,1,1,1,1,1,1,6,4,1,0,1
